NN,abacus,neutral
NN,abandon,fear|sadness
VB,abandon,fear|sadness
JJ,abandoned,fear|sadness
VB,abandoned,fear|sadness
NN,abandonment,fear|sadness
NN,abbot,neutral
NN,abduction,fear|sadness|surprise
NN,aberration,disgust
VB,abhor,anger|disgust
JJ,abhorrent,anger|disgust
JJ,abject,disgust
JJ,abnormal,disgust
VB,abolish,neutral
JJ,abominable,disgust|fear
NN,abomination,anger|disgust|fear
NN,abortion,disgust|fear|sadness
JJ,abortive,sadness
JJ,abrupt,surprise
NN,abscess,neutral
NN,absence,neutral
JJ,absent,neutral
VB,absent,neutral
NN,absentee,neutral
NN,absolution,joy|trust
NN,abundance,neutral
JJ,abundant,neutral
NN,abuse,anger|disgust|fear|sadness
VB,abuse,anger|disgust|fear|sadness
JJ,abysmal,neutral
NN,abyss,neutral
JJ,academic,neutral
NN,academic,neutral
VB,accelerate,anticipation
NN,accident,fear|sadness|surprise
JJ,accidental,fear|surprise
NN,accidental,neutral
RB,accidentally,surprise
NN,accolade,anticipation|joy
NN,accompaniment,anticipation
VB,accomplish,joy
JJ,accomplished,joy
NN,accord,trust
VB,accord,trust
NN,account,neutral
VB,account,trust
NN,accountability,trust
JJ,accountable,trust
NN,accountant,neutral
VB,accredit,trust
JJ,accredited,trust
JJ,accurate,trust
VB,accurse,disgust|fear
JJ,accursed,disgust|fear
NN,accusation,anger|disgust
VB,accuse,anger|disgust|fear
NN,accused,anger|disgust|fear
NN,accuser,anger|disgust|fear
JJ,accusing,anger|disgust|fear
NN,ache,sadness
VB,ache,sadness
VB,achieve,joy|trust
NN,achievement,anticipation|joy|trust
JJ,aching,sadness
NN,aching,sadness
VB,acquire,anticipation
NN,acquiring,anticipation
NN,acrobat,neutral
JJ,actionable,anger|disgust
NN,adder,neutral
VB,address,neutral
NN,addresses,neutral
VB,adhere,trust
VB,adjudicate,neutral
JJ,administrative,neutral
JJ,admirable,joy|trust
NN,admiral,neutral
NN,admiration,joy|trust
VB,admire,trust
JJ,admissible,trust
NN,admonition,fear
JJ,adorable,joy
NN,adoration,joy|trust
VB,adore,anticipation|joy|trust
JJ,adrift,anticipation|fear|sadness
RB,adrift,anticipation|fear|sadness
NN,adultery,disgust|sadness
JJ,advance,anticipation|fear|joy|surprise
NN,advance,anticipation|joy
VB,advance,anticipation|joy
NN,advent,anticipation|joy
NN,adventure,anticipation
VB,adventure,anticipation
NN,adversary,anger
JJ,adverse,disgust
NN,adversity,disgust
NN,advice,neutral
JJ,advisable,neutral
VB,advise,neutral
JJ,advised,neutral
NN,adviser,neutral
NN,advocacy,anger|anticipation|joy|trust
NN,advocate,neutral
VB,advocate,neutral
NN,aesthetics,neutral
NN,affection,joy|trust
VB,affirm,trust
RB,affirmatively,trust
VB,afflict,disgust|sadness
NN,affliction,disgust|sadness
NN,affluence,joy
NN,affront,anger|disgust|fear|sadness
VB,affront,anger|disgust|fear|sadness
JJ,afraid,fear
NN,aftermath,anger|disgust|fear|sadness
NN,aga,neutral
VB,aggravate,anger
JJ,aggravated,anger
JJ,aggravating,anger|sadness
NN,aggravation,anger|disgust
NN,aggression,anger|fear
JJ,aggressive,anger|fear
NN,aggressor,anger|fear
JJ,aghast,disgust|fear|surprise
VB,agitate,anger
JJ,agitated,anger
NN,agitation,anger
VB,agonize,fear
JJ,agonizing,fear
NN,agony,anger|disgust|fear|sadness
VB,agree,neutral
JJ,agreeable,neutral
JJ,agreed,neutral
NN,agreement,neutral
NN,ail,neutral
VB,ail,sadness
JJ,ailing,sadness
VB,air,neutral
NN,airport,neutral
NN,airs,disgust
JJ,akin,neutral
NN,alarm,fear|surprise
VB,alarm,fear|surprise
JJ,alarming,fear|surprise
NN,alb,neutral
NN,alcoholism,anger|disgust|fear|sadness
VB,alert,anticipation|fear|surprise
NN,alertness,anticipation|fear|surprise
NN,alerts,anticipation|fear|surprise
JJ,alien,disgust|fear
NN,alien,neutral
VB,alien,neutral
VB,alienate,disgust
JJ,alienated,sadness
NN,alienation,anger|disgust|fear|sadness
JJ,alive,anticipation|joy
NN,allegation,anger
NN,allegiance,neutral
NN,alliance,trust
JJ,allied,trust
NN,allure,anticipation|joy|surprise
VB,allure,anticipation|disgust
NN,ally,trust
VB,ally,trust
NN,aloha,anticipation
NN,altercation,anger
VB,amaze,joy|surprise
RB,amazingly,joy|surprise
NN,ambassador,neutral
NN,ambition,anticipation|joy
VB,ambition,anticipation
NN,ambulance,neutral
NN,ambush,anger|fear|surprise
VB,ambush,anger|fear|surprise
NN,amen,trust
JJ,amicable,joy|trust
NN,ammonia,neutral
NN,amnesty,joy
VB,amnesty,joy
NN,amortization,neutral
NN,amour,joy|trust
NN,amphetamines,neutral
VB,amuse,joy
JJ,amused,joy
NN,amusement,joy
JJ,amusing,joy
NN,anaconda,neutral
NN,analyst,neutral
NN,anarchism,anger|fear
NN,anarchist,anger|fear
NN,anarchy,anger|fear
NN,anathema,disgust
JJ,ancestral,neutral
NN,anchorage,trust
NN,angel,trust
JJ,angelic,trust
NN,anger,anger
VB,anger,anger
NN,angina,neutral
VB,angle,neutral
NN,angling,neutral
JJ,angry,anger|disgust
NN,anguish,anger|fear|sadness
VB,anguish,anger|fear|sadness
VB,animate,joy
JJ,animated,joy
NN,animosity,anger|disgust|fear|sadness
NN,animus,anger|disgust|fear|sadness
VB,annihilate,anger|fear
JJ,annihilated,anger|fear|sadness
NN,annihilation,anger|fear|sadness
NN,announcement,neutral
VB,annoy,anger|disgust
NN,annoyance,anger|disgust
JJ,annoying,anger
NN,annoying,anger
NN,annulment,sadness
NN,anomaly,fear|surprise
JJ,answerable,neutral
NN,antagonism,anger
NN,antagonist,anger
JJ,antagonistic,anger|disgust
NN,anthrax,neutral
NN,antichrist,anger|disgust|fear
NN,anticipation,anticipation
JJ,anticipatory,anticipation
NN,antidote,neutral
JJ,antifungal,neutral
NN,antifungal,neutral
NN,antipathy,anger|disgust
JJ,antiseptic,neutral
NN,antiseptic,neutral
JJ,antisocial,anger|disgust|fear|sadness
NN,antithesis,neutral
NN,anxiety,anger|anticipation|fear|sadness
JJ,anxious,anger|anticipation|fear|sadness
NN,apache,fear
JJ,apathetic,neutral
NN,apathy,neutral
NN,aphid,neutral
JJ,apologetic,trust
VB,apologize,sadness|trust
NN,apostle,neutral
JJ,apostolic,neutral
VB,appal,disgust|fear
JJ,appalling,disgust|fear
NN,appalling,disgust|fear
NN,apparition,fear|surprise
NN,appeal,neutral
VB,appeal,neutral
NN,appendicitis,neutral
NN,applause,joy|surprise
NN,applicant,neutral
NN,appreciation,joy|trust
VB,apprehend,fear
NN,apprehension,fear
JJ,apprehensive,anticipation|fear
NN,apprentice,neutral
VB,apprentice,neutral
JJ,approaching,anticipation
NN,approaching,anticipation
NN,approbation,trust
VB,approve,trust
NN,arbiter,neutral
NN,arbitration,anticipation
NN,arbitrator,neutral
NN,archaeology,neutral
NN,architecture,neutral
JJ,ardent,anticipation|joy
VB,argue,anger
NN,argument,anger
NN,argumentation,anger
JJ,arid,sadness
VB,arm,neutral
NN,armament,neutral
JJ,armed,anger|fear
NN,armor,neutral
VB,armor,neutral
JJ,armored,neutral
NN,armory,trust
VB,arouse,anticipation
NN,arraignment,anger|fear|sadness
NN,arrival,neutral
VB,arrive,neutral
JJ,arrogant,anger|disgust
NN,arsenic,neutral
NN,arson,anger|fear
NN,art,neutral
NN,artillery,neutral
NN,ash,neutral
VB,ash,sadness
JJ,ashamed,disgust|sadness
NN,asp,neutral
NN,aspiration,anticipation|joy|surprise|trust
VB,aspire,anticipation|joy
JJ,aspiring,anticipation|joy|trust
VB,assail,anger|fear|surprise
NN,assailant,anger|fear|sadness
NN,assassin,anger|fear|sadness
VB,assassinate,anger|fear
NN,assassination,anger|fear|sadness
NN,assault,anger|fear
VB,assault,anger|fear
NN,assembly,neutral
VB,assert,trust
JJ,asserting,trust
NN,assessment,trust
NN,assessor,neutral
NN,asshole,anger|disgust
NN,assignee,neutral
NN,assist,trust
VB,assist,trust
JJ,associate,neutral
NN,associate,neutral
VB,associate,neutral
NN,association,neutral
NN,assurance,trust
VB,assure,trust
JJ,assured,trust
RB,assuredly,trust
RB,astonishingly,surprise
NN,astonishment,joy|surprise
RB,astray,fear
NN,astrologer,neutral
NN,astronomer,neutral
NN,asylum,fear
NN,asymmetry,neutral
NN,atherosclerosis,neutral
VB,atone,anticipation|joy|trust
JJ,atrocious,anger|disgust
NN,atrocity,anger|disgust|fear|sadness
NN,atrophy,disgust|sadness
VB,atrophy,disgust|sadness
NN,attack,anger|fear
VB,attack,anger|fear
JJ,attacking,anger|disgust|fear|sadness|surprise
JJ,attainable,anticipation
NN,attempt,anticipation
VB,attempt,anticipation
NN,attendance,neutral
JJ,attendant,neutral
NN,attendant,neutral
JJ,attentive,trust
NN,attenuation,sadness
VB,attest,trust
NN,attestation,trust
NN,attorney,neutral
NN,auction,neutral
VB,auction,neutral
NN,audience,neutral
NN,auditor,neutral
NN,aunt,neutral
JJ,auspicious,anticipation|joy
JJ,austere,sadness
JJ,authentic,trust
VB,authenticate,trust
NN,authentication,trust
NN,authenticity,trust
NN,author,neutral
VB,author,neutral
JJ,authoritative,neutral
NN,authority,trust
NN,authorization,trust
VB,authorize,trust
JJ,automatic,neutral
NN,automatic,neutral
NN,autopsy,neutral
VB,autopsy,neutral
